open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,take_buy_base_asset_volume,take_buy_quote_asset_volume,ignore
1612166400000,33802.6,34717.27,33589.23,34183.33,19521.507872,1612180799999,668190300.3565484,443925,10118.909862,346365404.89314604,0.0
1612180800000,34183.33,34460.0,33160.0,33160.17,17478.706597,1612195199999,590750845.6880614,321562,8453.47249,285842941.1516794,0.0
1612195200000,33160.0,34100.0,33133.26,33838.13,9133.519374,1612209599999,307584858.903835,219926,4387.473531,147811899.5799186,0.0
1612209600000,33838.13,34039.0,33430.76,33526.37,6559.68151,1612223999999,221102862.03908348,142779,3273.878726,110388941.13334258,0.0
1612224000000,33517.09,34161.39,33418.0,33550.32,9103.943225,1612238399999,307040784.9506112,219248,4510.395923,152174420.3706819,0.0
1612238400000,33554.08,34400.0,33500.0,34223.38,10429.385997,1612252799999,355145309.0360277,252378,5282.607362,179908775.63473496,0.0
1612252800000,34223.38,35668.1,34080.0,34720.15,22068.658748,1612267199999,772307239.5923735,408552,11580.655459,405252814.988115,0.0
1612267200000,34722.97,35200.0,34333.0,34708.47,12709.434507,1612281599999,442356748.7085081,298935,6229.912516,216896888.83358082,0.0
1612281600000,34708.47,35800.0,34556.85,35762.03,13461.671642,1612295999999,472336368.5843642,330591,6802.83541,238807907.1885753,0.0
1612296000000,35762.05,35984.33,35466.0,35466.24,10283.565761,1612310399999,367135445.4457239,279968,4810.156436,171750157.6212116,0.0
1612310400000,35472.71,36500.0,35362.38,36403.47,13559.347093,1612324799999,488469184.24959475,262488,6613.170856,238246394.77519476,0.0
1612324800000,36403.47,36845.0,36231.66,36297.57,11921.875849,1612339199999,435948196.37697285,278799,6164.089344,225429225.44421974,0.0
1612339200000,36297.58,36299.98,35511.0,35969.41,13023.209147,1612353599999,467808618.7152177,272670,6487.061293,232962098.60700503,0.0
1612353600000,35969.41,36917.27,35810.9,36850.0,15213.605426,1612367999999,555266460.384431,357048,7259.410672,264946748.64855093,0.0
1612368000000,36850.0,37221.42,36643.07,36788.89,15217.459646,1612382399999,562621103.5283356,383346,7754.877488,286748646.5685234,0.0
